pagerank,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
ff 50,edge-list,2314800,struct-edge-list,2278750,vertex-pull,55261200,vertex-pull-nodiv,23017700,vertex-pull-warp,19804800,vertex-pull-warp-nodiv,16143100,vertex-push,10837600,vertex-push-warp,17259500
ff 30,edge-list,1825620,struct-edge-list,1788720,vertex-pull,24301500,vertex-pull-nodiv,10298200,vertex-pull-warp,14199300,vertex-pull-warp-nodiv,11149300,vertex-push,10888300,vertex-push-warp,11738800
ff 15,edge-list,1099420,struct-edge-list,1097160,vertex-pull,12217600,vertex-pull-nodiv,5365680,vertex-pull-warp,10804400,vertex-pull-warp-nodiv,7107110,vertex-push,9895080,vertex-push-warp,7990940
ff 05,edge-list,509931,struct-edge-list,508799,vertex-pull,2336020,vertex-pull-nodiv,1188630,vertex-pull-warp,3603940,vertex-pull-warp-nodiv,2612470,vertex-push,8645090,vertex-push-warp,4527410
re 50,edge-list,2523280,struct-edge-list,2473030,vertex-pull,88005500,vertex-pull-nodiv,33466000,vertex-pull-warp,22855800,vertex-pull-warp-nodiv,18837600,vertex-push,7409490,vertex-push-warp,20150600
re 30,edge-list,1615720,struct-edge-list,1624520,vertex-pull,46393300,vertex-pull-nodiv,18473600,vertex-pull-warp,14217500,vertex-pull-warp-nodiv,12123500,vertex-push,4591270,vertex-push-warp,12231200
re 15,edge-list,966243,struct-edge-list,916511,vertex-pull,21117400,vertex-pull-nodiv,8666440,vertex-pull-warp,7407570,vertex-pull-warp-nodiv,5900210,vertex-push,2390510,vertex-push-warp,6226970
re 05,edge-list,575105,struct-edge-list,498784,vertex-pull,5988470,vertex-pull-nodiv,2658490,vertex-pull-warp,3602750,vertex-pull-warp-nodiv,2644190,vertex-push,971555,vertex-push-warp,2681140
rw 50,edge-list,2588870,struct-edge-list,2576580,vertex-pull,81502500,vertex-pull-nodiv,33669700,vertex-pull-warp,23167200,vertex-pull-warp-nodiv,19339300,vertex-push,12627300,vertex-push-warp,20828300
rw 30,edge-list,1742880,struct-edge-list,1682600,vertex-pull,41743900,vertex-pull-nodiv,17432400,vertex-pull-warp,14967300,vertex-pull-warp-nodiv,12176200,vertex-push,8380030,vertex-push-warp,12442000
rw 15,edge-list,1061850,struct-edge-list,1002660,vertex-pull,17602200,vertex-pull-nodiv,7477030,vertex-pull-warp,8256170,vertex-pull-warp-nodiv,6181170,vertex-push,4614330,vertex-push-warp,6605140
rw 05,edge-list,592313,struct-edge-list,505507,vertex-pull,5883800,vertex-pull-nodiv,2623590,vertex-pull-warp,3645360,vertex-pull-warp-nodiv,2668430,vertex-push,2126690,vertex-push-warp,2677270
,,,,,,,,,,,,,,,,
out.dbpedia-link,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,818559000,struct-edge-list,819511000,vertex-pull,16085900000,vertex-pull-nodiv,6675170000,vertex-pull-warp,3943840000,vertex-pull-warp-nodiv,2713430000,vertex-push,2276010000,vertex-push-warp,2837870000
ff 50,edge-list,427250000,struct-edge-list,426447000,vertex-pull,10295800000,vertex-pull-nodiv,4135220000,vertex-pull-warp,2101330000,vertex-pull-warp-nodiv,1395730000,vertex-push,1123190000,vertex-push-warp,1431820000
ff 30,edge-list,195063000,struct-edge-list,194400000,vertex-pull,2597210000,vertex-pull-nodiv,1112150000,vertex-pull-warp,1118280000,vertex-pull-warp-nodiv,785414000,vertex-push,568753000,vertex-push-warp,877352000
ff 15,edge-list,69784800,struct-edge-list,69325000,vertex-pull,775613000,vertex-pull-nodiv,334360000,vertex-pull-warp,509171000,vertex-pull-warp-nodiv,375778000,vertex-push,266709000,vertex-push-warp,441304000
ff 05,edge-list,18870800,struct-edge-list,18799900,vertex-pull,193594000,vertex-pull-nodiv,85893500,vertex-pull-warp,161974000,vertex-pull-warp-nodiv,123973000,vertex-push,60091700,vertex-push-warp,149025000
re 50,edge-list,313567000,struct-edge-list,316796000,vertex-pull,4763630000,vertex-pull-nodiv,2050430000,vertex-pull-warp,1749350000,vertex-pull-warp-nodiv,1277560000,vertex-push,679894000,vertex-push-warp,1310890000
re 30,edge-list,132554000,struct-edge-list,134346000,vertex-pull,1539960000,vertex-pull-nodiv,682989000,vertex-pull-warp,954444000,vertex-pull-warp-nodiv,734559000,vertex-push,228023000,vertex-push-warp,763701000
re 15,edge-list,46312500,struct-edge-list,47131100,vertex-pull,391717000,vertex-pull-nodiv,187208000,vertex-pull-warp,439414000,vertex-pull-warp-nodiv,355280000,vertex-push,65550800,vertex-push-warp,378998000
re 05,edge-list,13333000,struct-edge-list,13633400,vertex-pull,85165900,vertex-pull-nodiv,43924700,vertex-pull-warp,139151000,vertex-pull-warp-nodiv,117807000,vertex-push,16260800,vertex-push-warp,127250000
rw 50,edge-list,226836000,struct-edge-list,229956000,vertex-pull,2135400000,vertex-pull-nodiv,970736000,vertex-pull-warp,1503000000,vertex-pull-warp-nodiv,1188130000,vertex-push,264378000,vertex-push-warp,1274470000
rw 30,edge-list,119935000,struct-edge-list,121423000,vertex-pull,941795000,vertex-pull-nodiv,443484000,vertex-pull-warp,886975000,vertex-pull-warp-nodiv,708271000,vertex-push,141218000,vertex-push-warp,762062000
