bfs,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
,,,,,,,,,,
livejournal-links,edge-list,2298950000,rev-edge-list,2254170000,vertex-pull,227281000,vertex-push,356841000,vertex-push-warp,990235000
ff 50,edge-list,311315000,rev-edge-list,305755000,vertex-pull,64933900,vertex-push,94591200,vertex-push-warp,238448000
ff 30,edge-list,125739000,rev-edge-list,122937000,vertex-pull,51458200,vertex-push,67774800,vertex-push-warp,140590000
ff 15,edge-list,129271000,rev-edge-list,126401000,vertex-pull,32706500,vertex-push,57806400,vertex-push-warp,62939000
ff 05,edge-list,7601220,rev-edge-list,7343860,vertex-pull,14882300,vertex-push,27287400,vertex-push-warp,17920600
re 50,edge-list,411211000,rev-edge-list,403407000,vertex-pull,133038000,vertex-push,181905000,vertex-push-warp,873646000
re 30,edge-list,241254000,rev-edge-list,236036000,vertex-pull,125142000,vertex-push,159349000,vertex-push-warp,838301000
re 15,edge-list,3992160,rev-edge-list,3861110,vertex-pull,2909300,vertex-push,3379760,vertex-push-warp,18720700
re 05,edge-list,1168100,rev-edge-list,1124930,vertex-pull,1033030,vertex-push,1185360,vertex-push-warp,6460120
rw 50,edge-list,459307000,rev-edge-list,450344000,vertex-pull,135803000,vertex-push,187668000,vertex-push-warp,939575000
rw 30,edge-list,266617000,rev-edge-list,260042000,vertex-pull,103292000,vertex-push,140029000,vertex-push-warp,731909000
rw 15,edge-list,5718930,rev-edge-list,5516650,vertex-pull,3021960,vertex-push,3387850,vertex-push-warp,18724300
rw 05,edge-list,10286400,rev-edge-list,9453840,vertex-pull,5857220,vertex-push,6406290,vertex-push-warp,35404700
,,,,,,,,,,
wikipedia_link_en,edge-list,240016000000,rev-edge-list,232044000000,vertex-pull,10154400000,vertex-push,11093200000,vertex-push-warp,58480800000
ff 50,edge-list,2868120000,rev-edge-list,2819390000,vertex-pull,1077090000,vertex-push,565668000,vertex-push-warp,754345000
ff 30,edge-list,666274000,rev-edge-list,656436000,vertex-pull,185272000,vertex-push,256713000,vertex-push-warp,387625000
ff 15,edge-list,172719000,rev-edge-list,169852000,vertex-pull,38372000,vertex-push,106329000,vertex-push-warp,170342000
