pagerank,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
ff 50,edge-list,2309160,struct-edge-list,2273120,vertex-pull,59567600,vertex-pull-nodiv,21556800,vertex-pull-warp,23317700,vertex-pull-warp-nodiv,19293700,vertex-push,12140300,vertex-push-warp,13969600
ff 30,edge-list,1683600,struct-edge-list,1659940,vertex-pull,26146400,vertex-pull-nodiv,10611100,vertex-pull-warp,16054300,vertex-pull-warp-nodiv,13192500,vertex-push,11912100,vertex-push-warp,9435950
ff 15,edge-list,1249140,struct-edge-list,1228090,vertex-pull,15592000,vertex-pull-nodiv,6420730,vertex-pull-warp,11504900,vertex-pull-warp-nodiv,8900370,vertex-push,11582800,vertex-push-warp,6338030
ff 05,edge-list,488427,struct-edge-list,487711,vertex-pull,2608540,vertex-pull-nodiv,1217570,vertex-pull-warp,3436870,vertex-pull-warp-nodiv,2704880,vertex-push,10762400,vertex-push-warp,4057440
re 50,edge-list,2681030,struct-edge-list,2643340,vertex-pull,92361400,vertex-pull-nodiv,33073200,vertex-pull-warp,25799700,vertex-pull-warp-nodiv,22758700,vertex-push,8138650,vertex-push-warp,16669400
re 30,edge-list,1672720,struct-edge-list,1652360,vertex-pull,48487100,vertex-pull-nodiv,17518200,vertex-pull-warp,15588700,vertex-pull-warp-nodiv,13773300,vertex-push,4418070,vertex-push-warp,9821110
re 15,edge-list,933387,struct-edge-list,923162,vertex-pull,22591800,vertex-pull-nodiv,8186400,vertex-pull-warp,7852610,vertex-pull-warp-nodiv,6826320,vertex-push,2260980,vertex-push-warp,4890120
re 05,edge-list,490016,struct-edge-list,487429,vertex-pull,6333140,vertex-pull-nodiv,2473380,vertex-pull-warp,3318150,vertex-pull-warp-nodiv,2653010,vertex-push,904918,vertex-push-warp,1791760
rw 50,edge-list,2788690,struct-edge-list,2749380,vertex-pull,89965900,vertex-pull-nodiv,32687700,vertex-pull-warp,26625600,vertex-pull-warp-nodiv,23058000,vertex-push,13978800,vertex-push-warp,16774500
rw 30,edge-list,1794540,struct-edge-list,1772650,vertex-pull,45612800,vertex-pull-nodiv,16704200,vertex-pull-warp,16618800,vertex-pull-warp-nodiv,14117400,vertex-push,9014850,vertex-push-warp,10400400
rw 15,edge-list,1030110,struct-edge-list,1027770,vertex-pull,19087400,vertex-pull-nodiv,7194510,vertex-pull-warp,8803410,vertex-pull-warp-nodiv,7292230,vertex-push,5466900,vertex-push-warp,5821000
rw 05,edge-list,508598,struct-edge-list,504724,vertex-pull,6421470,vertex-pull-nodiv,2521300,vertex-pull-warp,3506810,vertex-pull-warp-nodiv,2719360,vertex-push,2150410,vertex-push-warp,1852600
,,,,,,,,,,,,,,,,
out.dbpedia-link,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,1152280000,struct-edge-list,1146230000,vertex-pull,17474500000,vertex-pull-nodiv,6340370000,vertex-pull-warp,5441950000,vertex-pull-warp-nodiv,3780880000,vertex-push,4186650000,vertex-push-warp,3048560000
ff 50,edge-list,660944000,struct-edge-list,656460000,vertex-pull,10861500000,vertex-pull-nodiv,3936630000,vertex-pull-warp,3118710000,vertex-pull-warp-nodiv,2062910000,vertex-push,2077540000,vertex-push-warp,1543900000
ff 30,edge-list,304187000,struct-edge-list,301954000,vertex-pull,2913360000,vertex-pull-nodiv,1091340000,vertex-pull-warp,1596380000,vertex-pull-warp-nodiv,1123500000,vertex-push,1018410000,vertex-push-warp,876294000
ff 15,edge-list,105519000,struct-edge-list,104114000,vertex-pull,876464000,vertex-pull-nodiv,331844000,vertex-pull-warp,702539000,vertex-pull-warp-nodiv,522302000,vertex-push,440861000,vertex-push-warp,414428000
ff 05,edge-list,24651100,struct-edge-list,24238300,vertex-pull,212311000,vertex-pull-nodiv,78779900,vertex-pull-warp,215665000,vertex-pull-warp-nodiv,167066000,vertex-push,92368500,vertex-push-warp,132034000
re 50,edge-list,428223000,struct-edge-list,425791000,vertex-pull,5255920000,vertex-pull-nodiv,1943990000,vertex-pull-warp,2301180000,vertex-pull-warp-nodiv,1721300000,vertex-push,1200530000,vertex-push-warp,1265450000
re 30,edge-list,167392000,struct-edge-list,166386000,vertex-pull,1694170000,vertex-pull-nodiv,638461000,vertex-pull-warp,1173900000,vertex-pull-warp-nodiv,946866000,vertex-push,367835000,vertex-push-warp,679471000
re 15,edge-list,52942800,struct-edge-list,52506300,vertex-pull,429390000,vertex-pull-nodiv,168004000,vertex-pull-warp,514041000,vertex-pull-warp-nodiv,442690000,vertex-push,89274100,vertex-push-warp,322197000
re 05,edge-list,13472600,struct-edge-list,13347400,vertex-pull,91722700,vertex-pull-nodiv,36875400,vertex-pull-warp,156851000,vertex-pull-warp-nodiv,141701000,vertex-push,17873700,vertex-push-warp,106340000
rw 50,edge-list,285226000,struct-edge-list,284833000,vertex-pull,2369460000,vertex-pull-nodiv,913244000,vertex-pull-warp,1844380000,vertex-pull-warp-nodiv,1537230000,vertex-push,389079000,vertex-push-warp,1121750000
rw 30,edge-list,145832000,struct-edge-list,144917000,vertex-pull,1033480000,vertex-pull-nodiv,400333000,vertex-pull-warp,1066470000,vertex-pull-warp-nodiv,905879000,vertex-push,196881000,vertex-push-warp,661217000
rw 15,edge-list,62745600,struct-edge-list,62331900,vertex-pull,417198000,vertex-pull-nodiv,162747000,vertex-pull-warp,523486000,vertex-pull-warp-nodiv,449513000,vertex-push,84489300,vertex-push-warp,326834000
rw 05,edge-list,17454100,struct-edge-list,17300400,vertex-pull,103235000,vertex-pull-nodiv,41432600,vertex-pull-warp,174106000,vertex-pull-warp-nodiv,150055000,vertex-push,25237500,vertex-push-warp,108194000
,,,,,,,,,,,,,,,,
