graph,ff 50,ff 30,ff 15,ff 05,re 50,re 30,re 15,re 05,rw 50,rw 30,rw 15,rw 05
linux,0.0585250619,0.1055199642,0.131922195,0.2213100222,0.0927784923,0.1590192599,0.2490565342,0.4547441073,0.0208009114,0.0147372808,0.0081042,0.0468911292
livejournal-links,0.0197028658,0.0198146619,0.0398210923,0.0651402283,0.1460989919,0.251400492,0.3451475137,0.568520954,0.0935774262,0.1481371366,0.2298771632,0.3482195356
livemocha,0.0857938268,0.0936561806,0.1489635334,0.1646102986,0.6273677968,0.7627355589,0.74884667,0.87384667,0.3292922146,0.4410108491,0.57384667,0.87384667
loc-brightkite_edges,0.1586758077,0.1414343851,0.114681695,0.0454527378,0.3052248136,0.3627278148,0.5215513442,0.7677051904,0.1806187017,0.2567786169,0.2278399074,0.4215513442
loc-gowalla_edges,0.0280078526,0.0231833548,0.0075160923,0.0727069104,0.0501985806,0.0725268248,0.1102814843,0.2010500192,0.032101842,0.0581928763,0.0798443627,0.1405532243
moreno_bison,0.1942307692,0.2222222222,0.575,1,0.875,0.95,0.975,0.975,0.95,1,0.95,0.975
munmun_twitterex_ut,0.0140519573,0.0214798499,0.0044832653,0.0053837218,0.0417128003,0.0655225225,0.1035245759,0.2188549811,0.031071492,0.0591799394,0.099484304,0.1787356177
p2p-Gnutella31,0.1779661017,0.1041666667,0.4310344828,0.2307692308,0.3214285714,0.5,0.375,0.5,0.18,0.5625,0.5,0.5625
petster-carnivore,0.0162237243,0.0155023314,0.0148329266,0.0170281524,0.1023984638,0.1490834328,0.2299037445,0.4198251911,0.1255034096,0.170932567,0.2540401874,0.4207499494
petster-friendships-cat,0.0121668149,0.0120802777,0.0117163145,0.0107029905,0.0785825363,0.118136978,0.1929303065,0.3495655494,0.054872865,0.0814519857,0.1318135368,0.2825781327
petster-friendships-dog,0.0055822408,0.018013101,0.0195931284,0.0220824487,0.1400510996,0.1875518092,0.2845159225,0.4261733811,0.0974074707,0.1385028138,0.2032987633,0.344554884
prosper-loans,0.0568006653,0.0714768917,0.0549355799,0.1229736994,0.3931724624,0.6358195212,0.7858195212,0.8858195212,0.7469306323,0.3630922485,0.2805563633,0.8858195212
radoslaw_email,0.322682536,0.300284346,0.2468655426,0.2961089494,0.8715953307,0.8715953307,0.9494163424,0.8715953307,0.599820413,0.7465953307,0.7287381879,0.9844357977
roadNet-CA,0.4733333333,0.6,0.6,0.6,0.6,0.64,0.64,0.6,0.4793103448,0.265,0.2551724138,0.3948717949
roadNet-PA,0.4736842105,0.4736842105,0.4736842105,0.4736842105,0.4736842105,0.4736842105,0.4736842105,0.5789473684,0.1978221416,0.2653508772,0.3385490754,0.3123938879
roadNet-TX,0.5230769231,0.4461538462,0.5166666667,0.6,0.6,0.6,0.6,0.68,0.5782608696,0.5523809524,0.6,0.3435897436
slashdot-threads,0.042413002,0.0917276256,0.437208355,0.3450743629,0.0505166537,0.0869810798,0.134935044,0.3511659808,0.0219956243,0.0773463596,0.118361748,0.114301209
slashdot-zoo,0.3495708611,0.4159052364,0.2408915194,0.0816282774,0.1523619717,0.2726137625,0.3314372919,0.4063036021,0.0718158441,0.0280398323,0.0276462875,0.2065280689
soc-Epinions1,0.1032258177,0.1418239396,0.1405356774,0.2204354469,0.1422077922,0.2888353582,0.3518334607,0.387999038,0.0823549618,0.1078159545,0.2206255576,0.3779550958
soc-LiveJournal1,0.0070429415,0.005117216,0.0214889501,0.1269165759,0.0920322257,0.1916273641,0.2526285886,0.5547254988,0.1032579935,0.1617167597,0.2244426679,0.4421186612
soc-pokec-relationships,0.0066372267,0.0143775096,0.0074916514,0.0127608723,0.0643306204,0.1102703211,0.1411776676,0.5212946267,0.0437777451,0.0735515711,0.1432282486,0.3894678847
soc-Slashdot0811,0.0821357422,0.0343219566,0.0610946062,0.0708337114,0.1432739639,0.2529089211,0.4297612214,0.6102198455,0.1353501508,0.1920087254,0.4043374926,0.4190433749
soc-Slashdot0902,0.0900620092,0.0542596982,0.0558797562,0.0877183955,0.1760139112,0.268688268,0.404047384,0.5127430362,0.0754863695,0.1983736251,0.4521243071,0.3575357561
topology,0.0492640636,0.0130662799,0.0222712197,0.0301827971,0.1418679609,0.1954154843,0.3204986513,0.6589075478,0.0832603762,0.1324194526,0.2192870121,0.3498166387
trec-wt10g,0.0269448308,0.016783452,0.0177000867,0.0325099401,0.0739743236,0.14507929,0.220677162,0.3705751972,0.0516091476,0.096734156,0.1373951775,0.2603728585
web-Google,0.057430572,0.0305831438,0.0685026337,0.0309860961,0.2118148634,0.4664875316,0.5935248091,0.6570807222,0.1179406302,0.1485230832,0.3106633921,0.5914621303
web-NotreDame,0.0231498797,0.0649175291,0.0433523023,0.0343058664,0.0551793965,0.1171382925,0.1649379654,0.3626564631,0.0060118435,0.0447035827,0.0858134099,0.2017694777
wiki_talk_de,0.0517111062,0.0514033618,0.0309748196,0.0100806912,0.0078948911,0.0124161741,0.0196080927,0.0344364092,0.0808042861,0.1692307492,0.2947390222,0.5291153561
wiki_talk_en,0.0011601505,0.0049179569,0.0074196598,0.0247505967,0.0159439181,0.0261325438,0.0340371537,0.0745198496,0.0471386569,0.1031061404,0.1617916004,0.2804863685
wiki_talk_es,0.0200971873,0.027522353,0.0290707829,0.0247044176,0.0027251614,0.0079028455,0.0125663985,0.0219659392,0.0174694015,0.0454915654,0.091720461,0.1745580904
wiki-Talk,0.0507382871,0.0298923115,0.0155433308,0.0074105804,0.0163877358,0.0260651755,0.040109609,0.0687111703,0.0526711459,0.0876830859,0.1552617225,0.2652554685
wiki-Vote,0.0153962559,0.0342673382,0.2012431062,0.1078848663,0.213706075,0.5021118721,0.5687785388,0.6492579909,0.2354452055,0.4277528978,0.6104452055,0.5937024353
wikiconflict,0.0209148111,0.0173568161,0.0206351912,0.0177914771,0.0903665217,0.1713418793,0.2624764694,0.4978834741,0.0927669071,0.1275798371,0.1864247551,0.3667229017
wikipedia_link_de,0.0141990753,0.0455542088,0.1124141143,0.1863500023,0.0244385004,0.051575847,0.0828249358,0.1582752001,0.0103356058,0.0187966676,0.0365918786,0.0701057727
wikipedia_link_fr,0.0181900405,0.088834416,0.2443773476,0.3711960926,0.0499117232,0.0855136385,0.1441023781,0.2544932322,0.0416175927,0.0625087273,0.0965239765,0.1629290062
wikipedia_link_it,0.042107626,0.124331026,0.2070468792,0.2295668693,0.0752675696,0.1363901997,0.2145819533,0.4234605482,0.0523272618,0.0818850326,0.1367908997,0.2169477162
wikipedia_link_ja,0.0575408414,0.1612115133,0.2679600584,0.22262449,0.0608316273,0.1071214048,0.1725057632,0.3109907308,0.0499492737,0.0753016884,0.1316440538,0.2039910171
wikipedia_link_pl,0.0228242446,0.0886854105,0.3098447647,0.2284941478,0.0420207484,0.0747265304,0.1139454293,0.2002773824,0.0194870787,0.0379459162,0.0580373936,0.1020949234
wikipedia_link_pt,0.0292862253,0.1124741442,0.2752578485,0.2898526914,0.0467269523,0.0900167382,0.1638072612,0.2851931632,0.0448895066,0.0676831607,0.110167179,0.183595621
wikipedia_link_ru,0.0196989234,0.0408840723,0.14132016,0.3241003737,0.0287361347,0.0592478063,0.1036652256,0.2283134103,0.0337848583,0.0602206631,0.0877735949,0.154477626
wikisigned-k2,0.1100427509,0.1151535967,0.0675915245,0.021014741,0.0529368992,0.0971759258,0.1446539023,0.3141572916,0.039976301,0.0306333856,0.0192206536,0.0300929641
wordnet-words,0.2089806252,0.2015429335,0.1147018634,0.1406122749,0.5615659749,0.6860248494,0.7829945464,0.6687088321,0.3720212257,0.3063074298,0.4916901985,0.8413278797
youtube-links,0.0120713271,0.0178394645,0.009733034,0.0084826563,0.0263030018,0.0438617759,0.0715956146,0.1311138174,0.01987905,0.0344472096,0.0571847009,0.0976802171
youtube-u-growth,0.014790758,0.0125222676,0.0037849247,0.0065689133,0.0239097487,0.0389427697,0.0639104445,0.1169568336,0.0155710925,0.0266851086,0.0445526355,0.0912698119
zhishi-baidu-internallink,0.0186656827,0.034470893,0.0938029283,0.2486444144,0.0324079873,0.0543676183,0.085170146,0.1601973817,0.0040110129,0.0227633408,0.0399707334,0.0692268347
zhishi-hudong-internallink,0.0366128046,0.0310201649,0.084957092,0.1132636175,0.0514595038,0.1057312955,0.1588106525,0.2601813725,0.0395037014,0.0636238042,0.1037972274,0.1558978063
