pagerank,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
,1,,2,,3,,4,,5,,6,,7,,8,
cit-Patents,edge-list,182801000,struct-edge-list,182210000,vertex-pull,347820000,vertex-pull-nodiv,148317000,vertex-pull-warp,677809000,vertex-pull-warp-nodiv,554916000,vertex-push,232124000,vertex-push-warp,400252000
ff 50,edge-list,43642200,struct-edge-list,43443800,vertex-pull,81703300,vertex-pull-nodiv,37409200,vertex-pull-warp,301982000,vertex-pull-warp-nodiv,251427000,vertex-push,59679400,vertex-push-warp,169713000
ff 30,edge-list,22469500,struct-edge-list,22284600,vertex-pull,44618400,vertex-pull-nodiv,20889100,vertex-pull-warp,193514000,vertex-pull-warp-nodiv,160606000,vertex-push,32158700,vertex-push-warp,106762000
ff 15,edge-list,9810560,struct-edge-list,9684220,vertex-pull,19650500,vertex-pull-nodiv,9550580,vertex-pull-warp,99936200,vertex-pull-warp-nodiv,82752600,vertex-push,15483200,vertex-push-warp,54596800
ff 05,edge-list,3303980,struct-edge-list,3246810,vertex-pull,6068540,vertex-pull-nodiv,3233440,vertex-pull-warp,35420500,vertex-pull-warp-nodiv,29054900,vertex-push,6475620,vertex-push-warp,19505200
re 50,edge-list,26489000,struct-edge-list,26396000,vertex-pull,40877200,vertex-pull-nodiv,23422200,vertex-pull-warp,270920000,vertex-pull-warp-nodiv,248544000,vertex-push,33097000,vertex-push-warp,179185000
re 30,edge-list,12825200,struct-edge-list,12734800,vertex-pull,18626900,vertex-pull-nodiv,11937200,vertex-pull-warp,156822000,vertex-pull-warp-nodiv,147242000,vertex-push,16142300,vertex-push-warp,107216000
re 15,edge-list,6014060,struct-edge-list,5952230,vertex-pull,7947780,vertex-pull-nodiv,5568650,vertex-pull-warp,76864100,vertex-pull-warp-nodiv,73323100,vertex-push,7323610,vertex-push-warp,53726900
re 05,edge-list,2223150,struct-edge-list,2204930,vertex-pull,2675690,vertex-pull-nodiv,2030790,vertex-pull-warp,26758200,vertex-pull-warp-nodiv,25633900,vertex-push,2524230,vertex-push-warp,18947000
rw 50,edge-list,29528400,struct-edge-list,29406000,vertex-pull,47995400,vertex-pull-nodiv,25975200,vertex-pull-warp,277097000,vertex-pull-warp-nodiv,251376000,vertex-push,31998800,vertex-push-warp,179476000
rw 30,edge-list,15044400,struct-edge-list,14927400,vertex-pull,23290800,vertex-pull-nodiv,13573600,vertex-pull-warp,164781000,vertex-pull-warp-nodiv,150559000,vertex-push,16577900,vertex-push-warp,107673000
rw 15,edge-list,6934720,struct-edge-list,6864240,vertex-pull,9817430,vertex-pull-nodiv,6201880,vertex-pull-warp,82264500,vertex-pull-warp-nodiv,75355600,vertex-push,7702900,vertex-push-warp,53917100
rw 05,edge-list,2528990,struct-edge-list,2474340,vertex-pull,3078680,vertex-pull-nodiv,2141950,vertex-pull-warp,28443200,vertex-pull-warp-nodiv,26160600,vertex-push,2721500,vertex-push-warp,18936000
,,,,,,,,,,,,,,,,
,1,,2,,3,,4,,5,,6,,7,,8,
com-orkut,edge-list,1586390000,struct-edge-list,1576220000,vertex-pull,4445950000,vertex-pull-nodiv,1925320000,vertex-pull-warp,2677810000,vertex-pull-warp-nodiv,1251680000,vertex-push,2928500000,vertex-push-warp,1856720000
ff 50,edge-list,98067100,struct-edge-list,96383100,vertex-pull,753170000,vertex-pull-nodiv,294725000,vertex-pull-warp,382946000,vertex-pull-warp-nodiv,268969000,vertex-push,416962000,vertex-push-warp,209357000
ff 30,edge-list,44237300,struct-edge-list,43557800,vertex-pull,606326000,vertex-pull-nodiv,233247000,vertex-pull-warp,219142000,vertex-pull-warp-nodiv,158981000,vertex-push,324001000,vertex-push-warp,117601000
ff 15,edge-list,15300100,struct-edge-list,14988000,vertex-pull,378606000,vertex-pull-nodiv,136617000,vertex-pull-warp,96149700,vertex-pull-warp-nodiv,74042000,vertex-push,193343000,vertex-push-warp,51081800
ff 05,edge-list,4855290,struct-edge-list,4764830,vertex-pull,438251000,vertex-pull-nodiv,155803000,vertex-pull-warp,32205100,vertex-pull-warp-nodiv,25984700,vertex-push,220101000,vertex-push-warp,17229100
