bfs,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
cit-Patents.txt,1,,2,,3,,4,,5,
graph,edge-list,34872600,rev-edge-list,41466300,vertex-pull,69784600,vertex-push,7951280,vertex-push-warp,47885200
ff 50,edge-list,9100040,rev-edge-list,10352700,vertex-pull,18096800,vertex-push,3678020,vertex-push-warp,21945200
ff 30,edge-list,5138100,rev-edge-list,5706950,vertex-pull,10218500,vertex-push,2368180,vertex-push-warp,13870500
ff 15,edge-list,2366350,rev-edge-list,2535640,vertex-pull,4643140,vertex-push,1261350,vertex-push-warp,7138540
ff 05,edge-list,765682,rev-edge-list,806123,vertex-pull,1488870,vertex-push,490134,vertex-push-warp,2587000
re 50,edge-list,4050970,rev-edge-list,4447960,vertex-pull,11847200,vertex-push,4021320,vertex-push-warp,23990100
re 30,edge-list,1854490,rev-edge-list,1947440,vertex-pull,6134240,vertex-push,2449940,vertex-push-warp,14533800
re 15,edge-list,830053,rev-edge-list,853842,vertex-pull,2813880,vertex-push,1267310,vertex-push-warp,7296980
re 05,edge-list,306154,rev-edge-list,311450,vertex-pull,958226,vertex-push,487475,vertex-push-warp,2579550
rw 50,edge-list,4513780,rev-edge-list,5109960,vertex-pull,12926500,vertex-push,4021280,vertex-push-warp,23986400
rw 30,edge-list,2265240,rev-edge-list,2501310,vertex-pull,6779670,vertex-push,2450040,vertex-push-warp,14540300
rw 15,edge-list,1031520,rev-edge-list,1118930,vertex-pull,3063450,vertex-push,1269730,vertex-push-warp,7307410
rw 05,edge-list,362257,rev-edge-list,389205,vertex-pull,1003400,vertex-push,487632,vertex-push-warp,2586340
,,,,,,,,,,
com-orkut.ungraph.txt,1,,2,,3,,4,,5,
graph,edge-list,2052760000,rev-edge-list,2316970000,vertex-pull,1303730000,vertex-push,518864000,vertex-push-warp,377807000
ff 50,edge-list,110597000,rev-edge-list,119145000,vertex-pull,127727000,vertex-push,99989700,vertex-push-warp,82506300
ff 30,edge-list,36659300,rev-edge-list,39186400,vertex-pull,55770400,vertex-push,77205500,vertex-push-warp,41238100
ff 15,edge-list,12042300,rev-edge-list,12580400,vertex-pull,35862700,vertex-push,48650400,vertex-push-warp,19493500
ff 05,edge-list,2471420,rev-edge-list,2549940,vertex-pull,37545000,vertex-push,38204300,vertex-push-warp,7176240
re 50,edge-list,129415000,rev-edge-list,149206000,vertex-pull,158874000,vertex-push,68469400,vertex-push-warp,350971000
re 30,edge-list,100577000,rev-edge-list,110003000,vertex-pull,153015000,vertex-push,69227700,vertex-push-warp,373706000
re 15,edge-list,2672260,rev-edge-list,2737890,vertex-pull,5469640,vertex-push,2074280,vertex-push-warp,11892400
re 05,edge-list,663191,rev-edge-list,661523,vertex-pull,1283960,vertex-push,608607,vertex-push-warp,3118060
