file,graph,ff 05,ff 15,ff 30,ff 50,re 05,re 15,re 30,re 50,rw 05,rw 15,rw 30,rw 50
wiki_talk_en.edges,wiki_talk_en,998307912,1796254207,4143587012,7158934989,696965002,1492170229,3271000794,6998880711,30274181685,118754569838,380186614489,1469622686473
wiki_talk_es.edges,wiki_talk_es,153574397,288637562,557150849,1244138666,111428961,217052852,412869014,770098623,3818473825,15854011439,63908178601,322111113831
wiki-Talk.txt,wiki-Talk,645878797,1561549840,2557683764,4689813578,467980393,1093387569,2431701063,4956133131,22156962556,120979917326,429260372639,1167552136994
wiki-Vote.txt,wiki-Vote,2083885,7335816,50080018,106112415,985980,3514576,6705300,22712600,5635586,18493836,42615544,106976263
wikiconflict.edges,wikiconflict,19730542,80422115,241663637,1049337971,33020338,46501662,142006394,387874067,1289730838,4997388919,13577541653,34465813427
wikipedia_link_de.edges,wikipedia_link_de,1337867325,3826511312,13029168952,38576549425,908135851,1287109721,3128718028,9540049811,7195609003,27215130748,74121100837,194162239244
wikipedia_link_fr.edges,wikipedia_link_fr,2989997735,6105061077,17241950955,56458243694,719754446,1430397874,3136913691,10692691596,9224454831,36640480455,102176939670,254768374103
wikipedia_link_it.edges,wikipedia_link_it,768486251,2235890108,6596727801,21003126810,295007289,780787819,1718224616,5132170991,4495298664,17550230555,46831870327,113788021125
wikipedia_link_ja.edges,wikipedia_link_ja,763329536,2186283726,5994252476,19289538332,631549413,727595475,1515688621,4478485994,5732460395,21684023204,60768740684,158008937240
wikipedia_link_pl.edges,wikipedia_link_pl,570986163,2020756810,5990636798,20912701945,355385452,543737018,1385529305,3425424937,4178927716,15942025182,43289685273,101309140211
wikipedia_link_pt.edges,wikipedia_link_pt,689789194,2665503903,10128402501,33349269277,303769833,739096263,1697257311,5245709612,4120350629,16601435229,46209923426,113918356394
wikipedia_link_ru.edges,wikipedia_link_ru,1511792253,5498289735,17303101305,58513574406,571435590,1427692192,3458007813,14669482153,8370333035,30117310540,83833412368,208991647769
wikisigned-k2.edges,wikisigned-k2,36793233,92117675,193726594,380748394,40905970,66594300,163256300,357852290,325943416,1272392966,3368067302,10624702094
wordnet-words.edges,wordnet-words,51143377,121697839,297973554,680307829,41063380,54487938,94517376,168626398,180413875,552140934,1304220430,2723923857
youtube-links.edges,youtube-links,332444131,763869982,1889232529,3793680359,259903631,467842615,1273723484,2861054865,4956349670,17674259825,45527157977,111318457193
youtube-u-growth.edges,youtube-u-growth,831821941,3144264495,8599862554,18026457637,724346706,1472562634,3776077226,7674642329,161981717669,581338300719,1427575929276,3114591958120
zhishi-baidu-internallink.edges,zhishi-baidu-internallink,676449833,3300643698,9251968236,18439885730,582154433,1034489368,2238307030,5823624021,2583636772,8557491187,21894025262,49756991546
zhishi-hudong-internallink.edges,zhishi-hudong-internallink,975887199,4407320039,9938473799,14096114152,423560841,1018610226,2239916384,4953400349,1778327779,6727728127,16713290924,40399813020
