bfs,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
rw 05,edge-list,4559610,rev-edge-list,5029380,vertex-pull,15031900,vertex-push,3349210,vertex-push-warp,19244200
,,,,,,,,,,
out.livejournal-links,1,,2,,3,,4,,5,
graph,edge-list,1335540000,rev-edge-list,1473880000,vertex-pull,478677000,vertex-push,246474000,vertex-push-warp,512913000
ff 50,edge-list,184226000,rev-edge-list,200658000,vertex-pull,142882000,vertex-push,71674900,vertex-push-warp,128663000
ff 30,edge-list,73978600,rev-edge-list,78917000,vertex-pull,72883100,vertex-push,56451500,vertex-push-warp,72952600
ff 15,edge-list,76705200,rev-edge-list,83919700,vertex-pull,47195500,vertex-push,52702800,vertex-push-warp,36807000
ff 05,edge-list,4349280,rev-edge-list,4475380,vertex-pull,14339400,vertex-push,23473700,vertex-push-warp,9123990
re 50,edge-list,238593000,rev-edge-list,279356000,vertex-pull,196028000,vertex-push,90898800,vertex-push-warp,405686000
re 30,edge-list,137965000,rev-edge-list,155743000,vertex-pull,170819000,vertex-push,73668200,vertex-push-warp,380003000
re 15,edge-list,2196100,rev-edge-list,2335690,vertex-pull,4026840,vertex-push,1453460,vertex-push-warp,8220890
re 05,edge-list,640527,rev-edge-list,638705,vertex-pull,1151540,vertex-push,530774,vertex-push-warp,2782060
rw 50,edge-list,265795000,rev-edge-list,296522000,vertex-pull,193877000,vertex-push,91544100,vertex-push-warp,436125000
rw 30,edge-list,152828000,rev-edge-list,162817000,vertex-pull,140505000,vertex-push,65838700,vertex-push-warp,336827000
rw 15,edge-list,3169910,rev-edge-list,3223640,vertex-pull,4407040,vertex-push,1453820,vertex-push-warp,8219760
rw 05,edge-list,5303480,rev-edge-list,5260770,vertex-pull,6808610,vertex-push,2868180,vertex-push-warp,15228300
,,,,,,,,,,
out.wikipedia_link_en,1,,2,,3,,4,,5,
graph,edge-list,136946000000,rev-edge-list,144685000000,vertex-pull,14491900000,vertex-push,4937750000,vertex-push-warp,25878500000
ff 50,edge-list,1675540000,rev-edge-list,1800270000,vertex-pull,1269600000,vertex-push,420974000,vertex-push-warp,467472000
ff 30,edge-list,390339000,rev-edge-list,420765000,vertex-pull,260168000,vertex-push,181609000,vertex-push-warp,217368000
ff 15,edge-list,100976000,rev-edge-list,108306000,vertex-pull,67354700,vertex-push,74170300,vertex-push-warp,91051200
ff 05,edge-list,19527100,rev-edge-list,20613200,vertex-pull,16955800,vertex-push,19645700,vertex-push-warp,31244000
re 50,edge-list,815414000,rev-edge-list,905558000,vertex-pull,712989000,vertex-push,204448000,vertex-push-warp,819563000
re 30,edge-list,326306000,rev-edge-list,361572000,vertex-pull,501624000,vertex-push,158889000,vertex-push-warp,842077000
re 15,edge-list,128562000,rev-edge-list,138702000,vertex-pull,418522000,vertex-push,119611000,vertex-push-warp,679540000
re 05,edge-list,1661200,rev-edge-list,1695090,vertex-pull,7975560,vertex-push,2274350,vertex-push-warp,12889400
rw 50,edge-list,513733000,rev-edge-list,574744000,vertex-pull,492066000,vertex-push,188272000,vertex-push-warp,904100000
rw 30,edge-list,296775000,rev-edge-list,331939000,vertex-pull,335422000,vertex-push,137884000,vertex-push-warp,714837000
rw 15,edge-list,143691000,rev-edge-list,159423000,vertex-pull,200731000,vertex-push,85959500,vertex-push-warp,464071000
rw 05,edge-list,39702400,rev-edge-list,43024800,vertex-pull,69086400,vertex-push,32365600,vertex-push-warp,169766000
,,,,,,,,,,
roadNet-CA.txt,1,,2,,3,,4,,5,
graph,edge-list,2775910000,rev-edge-list,2779380000,vertex-pull,1986370000,vertex-push,994115000,vertex-push-warp,5740260000
ff 50,edge-list,1919990000,rev-edge-list,1923990000,vertex-pull,1410670000,vertex-push,722212000,vertex-push-warp,4103340000
ff 30,edge-list,1141440000,rev-edge-list,1144550000,vertex-pull,840827000,vertex-push,437060000,vertex-push-warp,2430580000
ff 15,edge-list,251731000,rev-edge-list,252143000,vertex-pull,191960000,vertex-push,103744000,vertex-push-warp,549103000
